,Precinct Name,Borough,Address,Telephone,URL,Commanding Officer,Description,Precinct Number,Scraped on
0,1st Precinct,Manhattan,16 Ericsson Place,212-334-0611,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/1st-precinct.page,Captain Joel Rosenthal,"The 1st Precinct serves an area that consists of a square mile on the southernmost tip of Manhattan. The precinct is home to the World Trade Center, SOHO, Tribeca, and Wall Street.",1,2024-05-11
1,5th Precinct,Manhattan,19 Elizabeth Street,212-334-0711,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/5th-precinct.page,Deputy Inspector Tao Chen,"The 5th Precinct serves the southeastern edge of Manhattan. The precinct is not only home to Chinatown, but also contains Little Italy, and the Bowery.",5,2024-05-11
2,6th Precinct,Manhattan,233 West 10 Street,212-741-4811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/6th-precinct.page,Captain Jason S. Zeikel,"The 6th Precinct serves the southwestern Manhattan neighborhoods of Greenwich Village and the West Village. Some popular destinations in the precinct are Christopher Street, Washington Square Park, and Broadway.",6,2024-05-11
3,7th Precinct,Manhattan,19 1/2 Pitt Street,212-477-7311,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/7th-precinct.page,Deputy Inspector Christopher M. Treubig,"The 7th Precinct serves Manhattan's Lower East Side. It is the second smallest precinct in the city consisting of only .62 square miles. The precinct is home to the Williamsburg Bridge and Orchard Street, which is transformed into an open-air mall every Sunday.",7,2024-05-11
4,9th Precinct,Manhattan,321 East 5 Street,212-477-7811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/9th-precinct.page,Captain Pamela A. Jeronimo,"The 9th Precinct serves the area from East Houston Street to East 14 Street from Broadway, to the East River in Manhattan. The precinct is home to the East Village, and features Tompkins Square Park.",9,2024-05-11
5,10th Precinct,Manhattan,230 West 20th Street,212-741-8211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/10th-precinct.page,Captain Alexander R. Brathwaite,"The 10th Precinct serves Chelsea, Clinton/Hell's Kitchen South and the Hudson Yards neighborhoods. The precinct is home to the Jacob Javits Convention Center, Chelsea Piers, Chinese Consulate, and the Fashion Institute of Technology.",10,2024-05-11
6,13th Precinct,Manhattan,230 East 21st Street,212-477-7411,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/13th-precinct.page,Deputy InspectorDaniel J. Orlando,"The 13th Precinct serves a southern portion of Midtown, Manhattan. The precinct features the Peter Cooper Village/Stuyvesant Town residential complex, Gramercy Park, the lower portion of Rosehill, Madison Square Park, and Union Square Park.",13,2024-05-11
7,Midtown South Precinct,Manhattan,357 West 35th Street,212-239-9811,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/midtown-south-precinct.page,Inspector Aaron C. Edwards,"As its name implies, the Midtown South Precinct serves the southern portion of Midtown, Manhattan. The area contains commercial offices, hotels, Times Square, Grand Central Terminal, Penn Station, Madison Square Garden, Koreatown section, and the Manhattan Mall Plaza.",14,2024-05-11
8,17th Precinct,Manhattan,167 East 51st Street,212-826-3211,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/17th-precinct.page,Captain Maggie Clamp,"The 17th Precinct serves the east side of Midtown, Manhattan. Some of the neighborhoods it covers are Sutton Area, Beekman Place, Kipps Bay, Turtle Bay, Murray Hill, and the Rose Hill Community. ",17,2024-05-11
9,Midtown North Precinct,Manhattan,306 West 54th Street,212-767-8400,https://www1.nyc.gov/site/nypd/bureaus/patrol/precincts/midtown-north-precinct.page,Deputy Inspector Robert Gault,"The Midtown North Precinct serves the area of Midtown, Manhattan, just south of Central Park. The precinct encompasses the Diamond District, St. Patrick's Cathedral, the Theatre District, Restaurant Row, Radio City Music Hall, and Rockefeller Plaza.",18,2024-05-11
